generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
8,12,fast,29393.164777,26405.333333,6910.037787,1417.333333,1706.666667,0.666667,0.000000,0.000000,242064.463036,510.880700203,924.494162667,126.315605558,28.1702560044
8,13,fast,26782.695598,23840.000000,7812.754700,1270.000000,1706.666667,0.666667,0.000000,0.000000,214004.266644,499.188787485,266.975227976,126.2161382,19.5599254449
8,14,fast,26351.131599,23357.333333,6790.701355,1258.333333,1706.666667,0.666667,0.000000,0.000000,282021.697668,50,929.390279747,135.074431166,24.9639679874
8,15,fast,23420.634624,22446.666667,13853.974191,1212.000000,1365.333333,0.333333,0.000000,0.000000,178221.142671,572.405127754,1457.35568474,120.182253554,33.2529406494
8,16,fast,16209.828362,15404.000000,17216.766092,862.333333,853.333333,0.333333,0.000000,0.000000,226862.980214,492.088519586,769.883264145,145.103805462,25.1053069233
9,1,full,109604.414473,84833.333333,11245.043866,3681.666667,5461.333333,1.000000,1.000000,0.333333,232724.251989,508.443275083,1388.48487488,118.172755896,39.6542013925
9,2,full,90464.729499,73722.666667,5158.743344,3393.666667,4096.000000,1.000000,1.000000,0.000000,252021.505932,590.785997261,1525.20287734,149.184171621,31.1881069977
9,3,full,86110.012688,66464.000000,33746.412906,2959.333333,4778.666667,1.000000,0.666667,0.333333,218195.626921,547.328019263,1458.43529147,148.965687564,31.0041617674
9,4,full,73788.865866,57136.000000,6942.682671,2648.666667,4096.000000,1.000000,1.000000,0.000000,231319.985252,504.000205456,1374.75907016,123.375030381,20.0575676733
9,5,full,68252.572325,55936.000000,13668.553496,2690.000000,3413.333333,1.000000,0.666667,0.000000,212541.205699,647.687746532,1376.01443144,125.244278018,21.0750679803
9,6,full,66501.662492,54472.000000,19406.750166,2566.000000,3413.333333,1.000000,0.666667,0.000000,205860.331861,566.859296432,1519.98091367,149.473274235,15.0201862319
9,7,fast,36723.935719,31890.666667,3334.618952,1658.000000,2048.000000,1.000000,0.000000,0.000000,248796.820102,568.35737436,1511.54609341,123.561338878,30.4499121468
9,8,fast,36078.371346,31372.000000,5872.573087,1607.333333,2048.000000,1.000000,0.000000,0.000000,240059.085127,530.916019031,1411.04288949,132.418027404,33.6109853709
